pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
TOI-700 d,TOI-700,TIC 150428135,Gaia DR2 5284517766615492736,Transit,2020,Space,3480,-1.633,0.941464297
TOI-1201 b,TOI-1201,TIC 29960110,Gaia DR2 5157183324996790272,Transit,2021,Space,3476,-1.469,0.94133152
LSPM J2116+0234 b,LSPM J2116+0234,TIC 387518186,Gaia DR2 2692455319291894400,Radial Velocity,2019,Ground,3475,-1.699,0.941298302
GJ 832 b,GJ 832,TIC 139754153,Gaia DR2 6562924609150908416,Radial Velocity,2008,Ground,3472,-1.585,0.941198591
GJ 832 c,GJ 832,TIC 139754153,Gaia DR2 6562924609150908416,Radial Velocity,2014,Ground,3472,-1.585,0.941198591
GJ 433 c,GJ 433,TIC 57654763,Gaia DR2 3478160727866058368,Radial Velocity,2014,Ground,3472,-1.699,0.941198591
GJ 3293 b,GJ 3293,TIC 178872239,Gaia DR2 4893118771316702720,Radial Velocity,2015,Ground,3466,-1.658,0.940998909
GJ 3293 c,GJ 3293,TIC 178872239,Gaia DR2 4893118771316702720,Radial Velocity,2015,Ground,3466,-1.658,0.940998909
GJ 3293 d,GJ 3293,TIC 178872239,Gaia DR2 4893118771316702720,Radial Velocity,2017,Ground,3466,-1.658,0.940998909
GJ 3293 e,GJ 3293,TIC 178872239,Gaia DR2 4893118771316702720,Radial Velocity,2017,Ground,3466,-1.658,0.940998909
USco1621 b,USco1621 A,TIC 322928241,Gaia DR2 6048608906890968960,Imaging,2019,Ground,3460,-1.02,0.940798881
GJ 1252 b,GJ 1252,TIC 370133522,Gaia DR2 6468968316900356736,Transit,2020,Space,3458,-1.708,0.940732128
GJ 251 b,GJ 251,TIC 68581262,Gaia DR2 939072613334579328,Radial Velocity,2020,Ground,3451,-1.772,0.940498188
TOI-1685 b,TOI-1685,TIC 28900646,Gaia DR2 252366608956186240,Transit,2021,Space,3434,-1.519,0.939928067
Kepler-560 b,Kepler-560,TIC 239275865,Gaia DR2 2082162147537254400,Transit,2016,Space,3430,-2.022,0.939793511
K2-239 b,K2-239,TIC 374339566,Gaia DR2 3857872051994269824,Transit,2018,Space,3420,-1.796,0.939456433
K2-239 c,K2-239,TIC 374339566,Gaia DR2 3857872051994269824,Transit,2018,Space,3420,-1.796,0.939456433
K2-239 d,K2-239,TIC 374339566,Gaia DR2 3857872051994269824,Transit,2018,Space,3420,-1.796,0.939456433
L 98-59 b,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,Transit,2019,Space,3415,-1.948,0.939287524
L 98-59 c,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,Transit,2019,Space,3415,-1.948,0.939287524
L 98-59 d,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,Transit,2019,Space,3415,-1.948,0.939287524
L 98-59 e,L 98-59,TIC 307210830,Gaia DR2 5271055243163629056,Radial Velocity,2021,Multiple Locales,3415,-1.948,0.939287524
K2-33 b,K2-33,TIC 49040478,Gaia DR2 6245758900889486720,Transit,2016,Space,3410,-0.83,0.939118367
K2-95 b,K2-95,TIC 195193025,Gaia DR2 659744295638254336,Transit,2016,Space,3410,-1.635,0.939118367
USco1556 b,USco1556 A,TIC 77534376,Gaia DR2 6235663460003427200,Imaging,2019,Ground,3410,-1.09,0.939118367
GJ 849 b,GJ 849,TIC 248027247,Gaia DR2 2627117287488522240,Radial Velocity,2006,Ground,3407,-1.583,0.939016754
COCONUTS-2 b,COCONUTS-2 A,TIC 272232401,Gaia DR2 5213167330349528064,Imaging,2021,Ground,3406,-1.732,0.938982863
HATS-71 b,HATS-71,TIC 234523599,Gaia DR2 4710594412266148352,Transit,2020,Ground,3405,-1.56,0.938948963
TOI-122 b,TOI-122,TIC 231702397,Gaia DR2 6411096106487783296,Transit,2020,Space,3403,-1.854,0.938881131
GJ 581 c,GJ 581,TIC 36853511,Gaia DR2 6322070093095493504,Radial Velocity,2007,Ground,3396,-1.885,0.938643406
GJ 581 e,GJ 581,TIC 36853511,Gaia DR2 6322070093095493504,Radial Velocity,2009,Ground,3396,-1.885,0.938643406
K2-9 b,K2-9,TIC 82050863,Gaia DR2 3795633852707093120,Transit,2015,Space,3390,-1.921,0.938439252
